Age,Country,First Name,Gender,Last Name,Month,Products,Quarter,Rank,Region,Rank Levels,Revenue (USD),Sales Reps,Years
25,England,Simon,Male,Walsh,1,Assessories,QTR 1,Store 5,U.K.,D5,9875.88,Simon W.,2020
25,England,Simon,Male,Walsh,1,Assessories,QTR 1,Store 5,U.K.,D5,17803.17,Simon W.,2020
25,England,Simon,Male,Walsh,1,Assessories,QTR 1,Store 5,U.K.,D5,28636.327574399995,Simon W.,2019
25,England,Simon,Male,Walsh,1,Assessories,QTR 1,Store 5,U.K.,D5,49777.944215999996,Simon W.,2019
25,England,Simon,Male,Walsh,1,Laptops,QTR 1,Store 5,U.K.,D5,4879.056,Simon W.,2020
25,England,Simon,Male,Walsh,1,Laptops,QTR 1,Store 5,U.K.,D5,15033.436965119998,Simon W.,2019
25,England,Simon,Male,Walsh,1,Laptops,QTR 1,Store 5,U.K.,D5,15759.239999999998,Simon W.,2020
25,England,Simon,Male,Walsh,1,Laptops,QTR 1,Store 5,U.K.,D5,19773.852059136003,Simon W.,2019
25,England,Simon,Male,Walsh,1,Smartphones,QTR 1,Store 5,U.K.,D5,24368.064000000002,Simon W.,2020
25,England,Simon,Male,Walsh,1,Smartphones,QTR 1,Store 5,U.K.,D5,55198.752,Simon W.,2020
25,England,Simon,Male,Walsh,1,Smartphones,QTR 1,Store 5,U.K.,D5,184805.838669312,Simon W.,2019
25,England,Simon,Male,Walsh,1,Smartphones,QTR 1,Store 5,U.K.,D5,224499.078139392,Simon W.,2019
25,England,Simon,Male,Walsh,1,Tablets,QTR 1,Store 5,U.K.,D5,1245.2083015679996,Simon W.,2019
25,England,Simon,Male,Walsh,1,Tablets,QTR 1,Store 5,U.K.,D5,6072.695999999999,Simon W.,2020
25,England,Simon,Male,Walsh,1,Tablets,QTR 1,Store 5,U.K.,D5,16164.747389952,Simon W.,2019
25,England,Simon,Male,Walsh,1,Tablets,QTR 1,Store 5,U.K.,D5,18111.239999999998,Simon W.,2020
25,England,Simon,Male,Walsh,10,Assessories,QTR 4,Store 5,U.K.,D5,6685.185,Simon W.,2020
25,England,Simon,Male,Walsh,10,Assessories,QTR 4,Store 5,U.K.,D5,7952.878049999999,Simon W.,2019
25,England,Simon,Male,Walsh,10,Assessories,QTR 4,Store 5,U.K.,D5,10960.696109999999,Simon W.,2019
25,England,Simon,Male,Walsh,10,Assessories,QTR 4,Store 5,U.K.,D5,17090.579999999998,Simon W.,2020
25,England,Simon,Male,Walsh,10,Laptops,QTR 4,Store 5,U.K.,D5,2662.8267744000004,Simon W.,2019
25,England,Simon,Male,Walsh,10,Laptops,QTR 4,Store 5,U.K.,D5,6532.9666271999995,Simon W.,2019
25,England,Simon,Male,Walsh,10,Laptops,QTR 4,Store 5,U.K.,D5,9257.508,Simon W.,2020
25,England,Simon,Male,Walsh,10,Laptops,QTR 4,Store 5,U.K.,D5,12115.428,Simon W.,2020
25,England,Simon,Male,Walsh,10,Smartphones,QTR 4,Store 5,U.K.,D5,12619.152,Simon W.,2020
25,England,Simon,Male,Walsh,10,Smartphones,QTR 4,Store 5,U.K.,D5,37531.3356288,Simon W.,2019
25,England,Simon,Male,Walsh,10,Smartphones,QTR 4,Store 5,U.K.,D5,41853.551999999996,Simon W.,2020
25,England,Simon,Male,Walsh,10,Smartphones,QTR 4,Store 5,U.K.,D5,53770.9176576,Simon W.,2019
25,England,Simon,Male,Walsh,10,Tablets,QTR 4,Store 5,U.K.,D5,4468.636224,Simon W.,2019
25,England,Simon,Male,Walsh,10,Tablets,QTR 4,Store 5,U.K.,D5,4649.9970816,Simon W.,2019
25,England,Simon,Male,Walsh,10,Tablets,QTR 4,Store 5,U.K.,D5,11736.27,Simon W.,2020
25,England,Simon,Male,Walsh,10,Tablets,QTR 4,Store 5,U.K.,D5,12542.166,Simon W.,2020
25,England,Simon,Male,Walsh,11,Assessories,QTR 4,Store 5,U.K.,D5,7003.709999999999,Simon W.,2020
25,England,Simon,Male,Walsh,11,Assessories,QTR 4,Store 5,U.K.,D5,9566.97,Simon W.,2020
25,England,Simon,Male,Walsh,11,Assessories,QTR 4,Store 5,U.K.,D5,13293.8988,Simon W.,2019
25,England,Simon,Male,Walsh,11,Assessories,QTR 4,Store 5,U.K.,D5,21177.68562,Simon W.,2019
25,England,Simon,Male,Walsh,11,Laptops,QTR 4,Store 5,U.K.,D5,5729.1359999999995,Simon W.,2020
25,England,Simon,Male,Walsh,11,Laptops,QTR 4,Store 5,U.K.,D5,6286.056,Simon W.,2020
25,England,Simon,Male,Walsh,11,Laptops,QTR 4,Store 5,U.K.,D5,7235.789030399999,Simon W.,2019
25,England,Simon,Male,Walsh,11,Laptops,QTR 4,Store 5,U.K.,D5,14214.256895999997,Simon W.,2019
25,England,Simon,Male,Walsh,11,Smartphones,QTR 4,Store 5,U.K.,D5,15290.687999999998,Simon W.,2020
25,England,Simon,Male,Walsh,11,Smartphones,QTR 4,Store 5,U.K.,D5,59007.64799999999,Simon W.,2020
25,England,Simon,Male,Walsh,11,Smartphones,QTR 4,Store 5,U.K.,D5,81423.7248384,Simon W.,2019
25,England,Simon,Male,Walsh,11,Smartphones,QTR 4,Store 5,U.K.,D5,103041.35009280001,Simon W.,2019
25,England,Simon,Male,Walsh,11,Tablets,QTR 4,Store 5,U.K.,D5,939.5608319999998,Simon W.,2019
